[00:00:00,000-00:00:01,800] 🎼你的名字是姜老刀，
[00:00:01,800-00:00:03,420] 这个名字不够熟悉，
[00:00:03,420-00:00:04,620] 对吧？
[00:00:04,620-00:00:08,220] 那你的频道的名字是实际你们的粉丝量3四千
[00:00:08,220-00:00:09,420] 0万。
[00:00:09,420-00:00:13,020] 我想大家应该多多少少有听说过日食记这个名
[00:00:13,020-00:00:15,900] 字是一个非常厉害的美食型的频道，
[00:00:15,900-00:00:18,600] 能够把这个做成一个庞大的企业，
[00:00:18,600-00:00:20,220] 其实真的很不容易。
[00:00:20,220-00:00:23,280] 我这边的行业里面很少有近似的公司。
[00:00:23,280-00:00:25,260] 这怎么样走入他的后台，
[00:00:25,260-00:00:28,320] 来带你看看如何把美食变成一个产业，
[00:00:28,320-00:00:29,580] 并且保持初心。
[00:00:29,580-00:00:31,200] 现在我们在尼泊尔，
[00:00:31,200-00:00:32,400] 我们开始吧。
[00:00:32,400-00:00:35,820] 😡日食记是比我们起步还要早的内容频道，
[00:00:35,820-00:00:37,080] 早在十多年前，
[00:00:37,080-00:00:39,780] 他们就已经在用电影机拍摄美食。
[00:00:39,780-00:00:43,200] 为了打灯一个月可以烧掉上万块钱的电费。
[00:00:43,200-00:00:46,080] 那当我们团队还是几十个人的时候，
[00:00:46,080-00:00:49,320] 他们已经壮大到了将近300人的规模。
[00:00:49,320-00:00:50,520] 而到了今天，
[00:00:50,520-00:00:53,760] 日食记依然保持着每周两条左右的更新，
[00:00:53,760-00:00:55,560] 制作水准也始终在线。
[00:00:55,560-00:00:57,360] 一支日常的美食教学，
[00:00:57,360-00:00:59,700] 他们能拍出来的画面是这样。
[00:00:59,700-00:01:01,860] 😊而他们做的声音是这样。
[00:01:01,860-00:01:03,060] 一定要提。
[00:01:03,060-00:01:05,040] 🎼不过更让我佩服的是，
[00:01:05,040-00:01:07,200] 他们这几年做的喜宴系列，
[00:01:07,200-00:01:10,800] 这是一档专门拍摄各地宴席的美食人文纪录片
[00:01:10,800-00:01:12,000] ，
[00:01:12,000-00:01:13,800] 婚宴流水席百人村宴，
[00:01:13,800-00:01:15,420] 不仅馋哭了很多人，
[00:01:15,420-00:01:16,860] 也看哭了很多人，
[00:01:16,860-00:01:20,100] 光是在B站就有超过3700万的播放，
[00:01:20,100-00:01:23,700] 能在美食这个赛道做到这种地步真的很不简单
[00:01:23,700-00:01:24,900] 。
[00:01:24,900-00:01:26,700] 但是作为团队的核心，
[00:01:26,700-00:01:28,860] 老刀本人其实一直很低调。
[00:01:28,860-00:01:32,460] 你看大部分时候他在视频里面只是简单露个脸
[00:01:32,460-00:01:33,660] ，
[00:01:33,660-00:01:36,360] 或者是留下做饭时候的动作特写，
[00:01:36,360-00:01:37,560] 脸都不露。
[00:01:37,560-00:01:39,360] 那大家对他了解很少。
[00:01:39,360-00:01:40,560] 。
[00:01:40,560-00:01:42,900] 😊这次能够走进他们的后台，
[00:01:42,900-00:01:44,880] 探访尼泊尔喜宴的拍摄，
[00:01:44,880-00:01:47,940] 对我们来说算是一次挺难得的机会啊。
[00:01:47,940-00:01:49,140] 🎼好甜啊，
[00:01:49,140-00:01:50,340] 你你少吃点，
[00:01:50,340-00:01:51,600] 把我我要把蒜，
[00:01:51,600-00:01:53,400] 这对我来说有点折寿，
[00:01:53,400-00:01:54,600] 是吗？
[00:01:54,600-00:01:55,860] 因为你还年轻。
[00:01:55,860-00:01:57,660] 😊但是你比我大几岁。
[00:01:57,660-00:01:58,860] 方的。
[00:01:58,860-00:02:00,060] 你叫我叔，
[00:02:00,060-00:02:01,320] 你肯定不吃亏。
[00:02:01,320-00:02:02,580] 🎼我80年的，
[00:02:02,580-00:02:05,100] 你80年80年整不是80后，
[00:02:05,100-00:02:06,300] 80整，
[00:02:06,300-00:02:07,740] 你46岁叔叔啊，
[00:02:07,740-00:02:10,260] 你觉得你和10年前有区别吗？
[00:02:10,260-00:02:11,460] 有。
[00:02:11,460-00:02:12,660] 😡什么体能？
[00:02:12,660-00:02:14,280] 我10年前更年级，
[00:02:14,280-00:02:16,800] 没有我十年前的话就跟你一样，
[00:02:16,800-00:02:18,000] 精力无限。
[00:02:18,000-00:02:19,200] 嗯，
[00:02:19,200-00:02:21,000] 就我可以晚上不睡觉，
[00:02:21,000-00:02:24,060] 白天照样非常有活力的去做任何事情，
[00:02:24,060-00:02:25,500] 但我现在做不了，
[00:02:25,500-00:02:27,300] 真的体能会跟不上吗？
[00:02:27,300-00:02:29,820] 所以我会分配自己的工作时间，
[00:02:29,820-00:02:32,520] 把精力就只放在实宴这件事情上，
[00:02:32,520-00:02:33,960] 像你们拍的时候，
[00:02:33,960-00:02:37,560] 一般是保合适拍摄还是就是停的时候立刻就停
[00:02:37,560-00:02:38,760] ，
[00:02:38,760-00:02:40,200] 就不再继续拍了，
[00:02:40,200-00:02:41,400] 不好合适。
[00:02:41,400-00:02:44,280] 这跟我以前拍摄完全就是两种风格，
[00:02:44,280-00:02:45,480] 对吧？
[00:02:45,480-00:02:48,720] 以前就是完全限制是这个就是这个这个。
[00:02:48,720-00:02:49,920] 😊🎼就卡住，
[00:02:49,920-00:02:52,980] 就是我需要祈伏和落伏是非常精准的。
[00:02:52,980-00:02:55,320] 然后这里就是我会跟他们讲，
[00:02:55,320-00:02:57,120] 你只要这个场景没钱，
[00:02:57,120-00:02:58,560] 你就永远拍下去。
[00:02:58,560-00:02:59,820] 老刀开玩笑说，
[00:02:59,820-00:03:02,520] 喜宴系列很像是拍一个婚庆摄影，
[00:03:02,520-00:03:03,960] 拍结婚、拍吃饭。
[00:03:03,960-00:03:06,480] 但你真正看过他们的片子以后，
[00:03:06,480-00:03:09,180] 就会发现他们跟拍一场婚礼宴席，
[00:03:09,180-00:03:10,800] 就会顺着结婚本身，
[00:03:10,800-00:03:12,000] 把两个家庭，
[00:03:12,000-00:03:13,200] 整个村子，
[00:03:13,200-00:03:15,900] 还有这个地区的文化都给拍进来。
[00:03:15,900-00:03:17,340] 比如闽南那一期，
[00:03:17,340-00:03:20,760] 他们为了结合福建闽北的游神和闽南婚宴。
[00:03:20,760-00:03:24,360] 足足横跨了两年的时间来把这支视频做出来给
[00:03:24,360-00:03:25,560] 你。
[00:03:25,560-00:03:28,620] 而在这种动辄一两年的拍摄周期里面，
[00:03:28,620-00:03:31,500] 他们的流程也变得和我们很不一样。
[00:03:31,500-00:03:35,100] 比如老刀总会带着团队去体验一些旁人看起来
[00:03:35,100-00:03:36,300] 很奇怪，
[00:03:36,300-00:03:39,000] 甚至根本不可能剪进片子里的事，
[00:03:39,000-00:03:40,980] 但是他觉得这特别重要。
[00:03:40,980-00:03:43,320] 🎼这个地方是做瑜伽的地方，
[00:03:43,320-00:03:46,020] 应该是我们正常拍片子不会来的。
[00:03:46,020-00:03:48,180] 但是老陶他们拍片子的话，
[00:03:48,180-00:03:51,600] 喜欢先过来体验一些当地真正当地的东西。
[00:03:51,600-00:03:53,760] 所以你们看到就莫名其妙，
[00:03:53,760-00:03:55,560] 老刀就在里面做瑜伽。
[00:03:55,560-00:03:56,760] 😊Yes.
[00:03:56,760-00:03:57,960] 🎼别算多行。
[00:03:57,960-00:04:00,660] 为什么是露出了我的巨爽内裤啊？
[00:04:00,660-00:04:04,260] 🎼clo sir哎O now suppo
[00:04:04,260-00:04:07,500] rt you coming up哎，
[00:04:07,500-00:04:09,120] 是是黄妙兰黄妙兰。
[00:04:09,120-00:04:10,320] 😊.
[00:04:10,320-00:04:11,520] 哎，
[00:04:11,520-00:04:13,680] 你看拍片还有这种环节吗？
[00:04:13,680-00:04:14,940] 🎼那练完瑜伽，
[00:04:14,940-00:04:16,200] 老道告诉我们，
[00:04:16,200-00:04:19,440] 他觉得只有体验过当地最为特色的活动，
[00:04:19,440-00:04:22,860] 才会有真切的感受和内容从心里流淌出来。
[00:04:22,860-00:04:25,920] 但其实老道是一个比我还要内向的人，
[00:04:25,920-00:04:27,900] 所以在喜宴的成片里面，
[00:04:27,900-00:04:31,320] 你会发现他几乎都是用旁白来进行讲述的。
[00:04:31,320-00:04:33,300] 😊我去问掌勺的大师傅，
[00:04:33,300-00:04:35,280] 今天有什么特别的菜不？
[00:04:35,280-00:04:36,720] 大师傅淡淡的说，
[00:04:36,720-00:04:38,160] 也没什么特别的，
[00:04:38,160-00:04:41,760] 无非就是些发财跟豉油鸡烧乳鸽、蒸龙炖、大
[00:04:41,760-00:04:45,360] 明虾真扇片话眉猪手、五花南梦话菇精媒体。
[00:04:45,360-00:04:48,060] 究竟我应该做一个什么样的配音。
[00:04:48,060-00:04:51,120] 这件事情其实我也花了大概三四个月，
[00:04:51,120-00:04:52,740] 就是讲述的语调嘛？
[00:04:52,740-00:04:54,000] 对讲述的语调，
[00:04:54,000-00:04:56,160] 就是你是不是要抑扬顿挫，
[00:04:56,160-00:04:57,420] 要不要播音腔，
[00:04:57,420-00:05:00,120] 那我们就取了一个相对平衡的值，
[00:05:00,120-00:05:03,360] 然后我会区分一下我对麦的距离的感受。
[00:05:03,360-00:05:04,980] 就比如说在报蔡明，
[00:05:04,980-00:05:06,180] 我在。
[00:05:06,180-00:05:08,160] 🎼讲快速的语调的时候，
[00:05:08,160-00:05:09,780] 我会离得更远一点。
[00:05:09,780-00:05:12,660] 但是如果我在结尾要做升华的时候，
[00:05:12,660-00:05:14,100] 我会离得近一点，
[00:05:14,100-00:05:16,620] 让我的低音的声压更多一点啊，
[00:05:16,620-00:05:20,220] 你还有这种微操来控我有微操旁白的形式其实
[00:05:20,220-00:05:23,100] 就是我还是更 school一些，
[00:05:23,100-00:05:26,700] 我希望是由我的视角来看待我看到的东西的，
[00:05:26,700-00:05:28,320] 而不是我融入进去。
[00:05:28,320-00:05:31,920] 因为有些东西我觉得我们并不适合融入进去。
[00:05:31,920-00:05:35,160] 因为觉得做不到像team这样的状态。
[00:05:35,160-00:05:38,760] 但是现在突然发现旁白其实还是有很多好处。
[00:05:38,760-00:05:39,960] 信息密度高。
[00:05:39,960-00:05:41,160] 对他的信。
[00:05:41,160-00:05:42,420] 密度会非常高，
[00:05:42,420-00:05:45,480] 而且你拉情绪的时候可以拉的特别好。
[00:05:45,480-00:05:46,680] 那除了旁白，
[00:05:46,680-00:05:50,280] 你会发现日食器在声音方面比我们要强很多很
[00:05:50,280-00:05:51,480] 多。
[00:05:51,480-00:05:54,180] 早在2014年公司成立的时候，
[00:05:54,180-00:05:56,700] 他们就已经有了自己的声音组，
[00:05:56,700-00:05:57,960] 给画面配拟音，
[00:05:57,960-00:06:01,200] 并且一点点建立起了属于自己的音效库。
[00:06:01,200-00:06:02,820] 那这几年喜宴之上，
[00:06:02,820-00:06:05,520] 他们采用了更多现场真实的声音，
[00:06:05,520-00:06:08,220] 所以对麦克风的要求也越来越高。
[00:06:08,220-00:06:09,420] 那聊到这里，
[00:06:09,420-00:06:10,620] 你会感受到，
[00:06:10,620-00:06:13,320] 其实老道对视频的呈现非常讲究。
[00:06:13,320-00:06:15,300] 本来以为到了拍摄现场，
[00:06:15,300-00:06:16,740] 他会一样的严格。
[00:06:16,740-00:06:18,720] 🎼但你会发现跟着他拍，
[00:06:18,720-00:06:21,240] 他身上有一种老艺术家的从容，
[00:06:21,240-00:06:22,860] 他们团队没有风景，
[00:06:22,860-00:06:24,300] 没有固定的新辰，
[00:06:24,300-00:06:26,280] 拍着拍着可能说要逛街，
[00:06:26,280-00:06:28,080] 然后突然就去逛街了，
[00:06:28,080-00:06:30,060] 又或者快要收工的时候，
[00:06:30,060-00:06:32,220] 冒出了一个值得采访的人，
[00:06:32,220-00:06:35,820] 他们就在赶去的路上立刻开始加班写采访提纲
[00:06:35,820-00:06:37,020] 。
[00:06:37,020-00:06:38,640] 你们既然是拍喜宴。
[00:06:38,640-00:06:42,240] 我听说现在你们其实已经是第第二次二次来这
[00:06:42,240-00:06:43,440] 儿，
[00:06:43,440-00:06:46,680] 但是还没有找到真正的喜宴的那户人家。
[00:06:46,680-00:06:47,880] 对，
[00:06:47,880-00:06:49,080] 那怎么办？
[00:06:49,080-00:06:50,280] 没关系，
[00:06:50,280-00:06:51,480] 慢慢找，
[00:06:51,480-00:06:54,180] 就是我们就是相当于呃修一个墙，
[00:06:54,180-00:06:55,440] 先把边先修完，
[00:06:55,440-00:06:56,880] 中间露个大窟窿。
[00:06:56,880-00:06:58,080] 这个大窟窿，
[00:06:58,080-00:06:59,340] 反正等待时间，
[00:06:59,340-00:07:00,540] 已经没事了，
[00:07:00,540-00:07:02,520] 走到街上就可能不放假。
[00:07:02,520-00:07:03,720] 哎，
[00:07:03,720-00:07:06,780] 最近那哪里哪里什么地方会有结婚啊，
[00:07:06,780-00:07:08,940] 所以我觉得通过时间的话，
[00:07:08,940-00:07:11,640] 就一定会找到他的随机性太大了。
[00:07:11,640-00:07:13,620] 就比如说像尼泊尔的话，
[00:07:13,620-00:07:15,240] 这一家今天要请客，
[00:07:15,240-00:07:16,860] 他可能今天不请了，
[00:07:16,860-00:07:20,460] 那我们可能随时随地就要把其他的计划给排过
[00:07:20,460-00:07:21,660] 来。
[00:07:21,660-00:07:22,920] 等到真正忙的。
[00:07:22,920-00:07:25,440] 那一天你们会直接忙到天上去。
[00:07:25,440-00:07:27,960] 对我们其实有一次最忙的时候，
[00:07:27,960-00:07:29,580] 体感45度的温度，
[00:07:29,580-00:07:32,460] 我们大概连续工作大概16个小时。
[00:07:32,460-00:07:36,060] 就因为他这一段时间就必须得把这些东西全拍
[00:07:36,060-00:07:37,260] 了。
[00:07:37,260-00:07:40,860] 那你们比如说你们今天比如拍了很多多东西，
[00:07:40,860-00:07:44,280] 你们会当天晚上大家坐下来一起来看素材，
[00:07:44,280-00:07:45,480] 不会的，
