[00:00:00,000-00:00:01,800] 🎼你的名字是姜老刀，
[00:00:01,800-00:00:03,420] 这个名字不够熟悉，
[00:00:03,420-00:00:04,620] 对吧？
[00:00:04,620-00:00:06,780] 那你的频道的名字是实际，
[00:00:06,780-00:00:08,940] 你们的粉丝量3四千0万。
[00:00:08,940-00:00:12,540] 我想大家应该多多少少有听说过日食记这个名
[00:00:12,540-00:00:15,420] 字是一个非常厉害的美食型的频道，
[00:00:15,420-00:00:18,120] 能够把这个做成一个庞大的企业，
[00:00:18,120-00:00:19,740] 其实真的很不容易。
[00:00:19,740-00:00:22,800] 我这边的行业里面很少有近似的公司。
[00:00:22,800-00:00:24,780] 这怎么样走入他的后台，
[00:00:24,780-00:00:27,840] 来带你看看如何把美食变成一个产业，
[00:00:27,840-00:00:29,100] 并且保持初心。
[00:00:29,100-00:00:30,720] 现在我们在尼泊尔，
[00:00:30,720-00:00:31,920] 我们开始吧。
[00:00:31,920-00:00:35,340] 😡日食记是比我们起步还要早的内容频道，
[00:00:35,340-00:00:36,600] 早在十多年前，
[00:00:36,600-00:00:39,300] 他们就已经在用电影机拍摄美食。
[00:00:39,300-00:00:42,720] 为了打灯一个月可以烧掉上万块钱的电费。
[00:00:42,720-00:00:45,600] 那当我们团队还是几十个人的时候，
[00:00:45,600-00:00:48,840] 他们已经壮大到了将近300人的规模。
[00:00:48,840-00:00:50,040] 而到了今天，
[00:00:50,040-00:00:53,280] 日食记依然保持着每周两条左右的更新，
[00:00:53,280-00:00:55,080] 制作水准也始终在线。
[00:00:55,080-00:00:56,880] 一支日常的美食教学，
[00:00:56,880-00:00:59,220] 他们能拍出来的画面是这样。
[00:00:59,220-00:01:01,380] 😊而他们做的声音是这样。
[00:01:01,380-00:01:02,580] 一定要提。
[00:01:02,580-00:01:04,560] 🎼不过更让我佩服的是，
[00:01:04,560-00:01:06,720] 他们这几年做的喜宴系列，
[00:01:06,720-00:01:10,320] 这是一档专门拍摄各地宴席的美食人文纪录片
[00:01:10,320-00:01:11,520] ，
[00:01:11,520-00:01:13,500] 婚宴流水席、百人村宴，
[00:01:13,500-00:01:15,120] 不仅馋哭了很多人，
[00:01:15,120-00:01:16,560] 也看哭了很多人，
[00:01:16,560-00:01:19,800] 光是在B站就有超过3700万的播放，
[00:01:19,800-00:01:23,400] 能在美食这个赛道做到这种地步真的很不简单
[00:01:23,400-00:01:24,600] 。
[00:01:24,600-00:01:26,400] 但是作为团队的核心，
[00:01:26,400-00:01:28,560] 老刀本人其实一直很低调。
[00:01:28,560-00:01:32,160] 你看大部分时候他在视频里面只是简单露个脸
[00:01:32,160-00:01:33,360] ，
[00:01:33,360-00:01:36,060] 或者是留下做饭时候的动作特写，
[00:01:36,060-00:01:37,260] 脸都不露。
[00:01:37,260-00:01:39,060] 那大家对他了解很少。
[00:01:39,060-00:01:40,260] 。
[00:01:40,260-00:01:42,600] 😊这次能够走进他们的后台，
[00:01:42,600-00:01:44,580] 探访尼泊尔喜宴的拍摄，
[00:01:44,580-00:01:47,640] 对我们来说算是一次挺难得的机会啊。
[00:01:47,640-00:01:48,840] 🎼好甜啊，
[00:01:48,840-00:01:50,040] 你你少吃点，
[00:01:50,040-00:01:51,300] 把我我要把蒜，
[00:01:51,300-00:01:53,100] 这对我来说有点折寿，
[00:01:53,100-00:01:54,300] 是吗？
[00:01:54,300-00:01:55,560] 因为你还年轻。
[00:01:55,560-00:01:57,360] 😊但是你比我大几岁。
[00:01:57,360-00:01:58,560] 方的。
[00:01:58,560-00:01:59,760] 你叫我叔，
[00:01:59,760-00:02:01,020] 你肯定不吃亏。
[00:02:01,020-00:02:02,280] 🎼我80年了，
[00:02:02,280-00:02:04,800] 你80年80年整不是80后，
[00:02:04,800-00:02:06,000] 80整，
[00:02:06,000-00:02:07,440] 你46岁叔叔啊，
[00:02:07,440-00:02:09,960] 你觉得你和10年前有区别吗？
[00:02:09,960-00:02:11,160] 有。
[00:02:11,160-00:02:12,360] 😡什么体能？
[00:02:12,360-00:02:13,980] 我10年前更年级，
[00:02:13,980-00:02:16,500] 没有我十年前的话就跟你一样，
[00:02:16,500-00:02:17,700] 精力无限。
[00:02:17,700-00:02:18,900] 嗯，
[00:02:18,900-00:02:20,700] 就我可以晚上不睡觉，
[00:02:20,700-00:02:23,760] 白天照样非常有活力的去做任何事频，
[00:02:23,760-00:02:25,200] 但我现在做不了，
[00:02:25,200-00:02:27,000] 真的体能会跟不上吗？
[00:02:27,000-00:02:29,520] 所以我会分配自己的工作时间，
[00:02:29,520-00:02:32,220] 把精力就只放在实宴这件事情上，
[00:02:32,220-00:02:33,660] 像你们拍的时候，
[00:02:33,660-00:02:37,260] 一般是保合适拍摄还是就是停的时候立刻就停
[00:02:37,260-00:02:38,460] ，
[00:02:38,460-00:02:39,900] 就不再继续拍了，
[00:02:39,900-00:02:41,100] 不好合适。
[00:02:41,100-00:02:43,980] 这跟我以前拍摄完全就是两种风格，
[00:02:43,980-00:02:45,180] 对吧？
[00:02:45,180-00:02:48,420] 以前就是完全限制是这个就是这个这个。
[00:02:48,420-00:02:49,620] 😊🎼就卡住，
[00:02:49,620-00:02:52,680] 就是我需要祈伏和落伏是非常精准的。
[00:02:52,680-00:02:55,020] 然后这里就是我会跟他们讲，
[00:02:55,020-00:02:56,820] 你只要这个场景没钱，
[00:02:56,820-00:02:58,260] 你就永远拍下去。
[00:02:58,260-00:02:59,520] 老刀开玩笑说，
[00:02:59,520-00:03:02,220] 喜宴系列很像是拍一个婚庆摄影，
[00:03:02,220-00:03:03,660] 拍结婚、拍吃饭。
[00:03:03,660-00:03:06,180] 但你真正看过他们的片子以后，
[00:03:06,180-00:03:08,880] 就会发现他们跟拍一场婚礼宴席，
[00:03:08,880-00:03:10,500] 就会顺着结婚本身，
[00:03:10,500-00:03:11,700] 把两个家庭，
[00:03:11,700-00:03:12,900] 整个村子，
[00:03:12,900-00:03:15,600] 还有这个地区的文化都给拍进来。
[00:03:15,600-00:03:17,040] 比如闽南那一期，
[00:03:17,040-00:03:20,460] 他们为了结合福建闽北的游神和闽南婚宴。
[00:03:20,460-00:03:24,060] 足足横跨了两年的时间来把这支视频做出来给
[00:03:24,060-00:03:25,260] 你。
[00:03:25,260-00:03:28,320] 而在这种动辄一两年的拍摄周期里面，
[00:03:28,320-00:03:31,200] 他们的流程也变得和我们很不一样。
[00:03:31,200-00:03:34,800] 比如老刀总会带着团队去体验一些旁人看起来
[00:03:34,800-00:03:36,000] 很奇怪，
[00:03:36,000-00:03:38,700] 甚至根本不可能剪进片子里的事，
[00:03:38,700-00:03:40,680] 但是他觉得这特别重要。
[00:03:40,680-00:03:43,020] 🎼这个地方是做瑜伽的地方，
[00:03:43,020-00:03:45,720] 应该是我们正常拍片子不会来的。
[00:03:45,720-00:03:47,880] 但是老陶他们拍片子的话，
[00:03:47,880-00:03:51,300] 喜欢先过来体验一些当地真正当地的东西。
[00:03:51,300-00:03:53,460] 所以你们看到就莫名其妙，
[00:03:53,460-00:03:55,260] 老刀就在里面做瑜伽。
[00:03:55,260-00:03:56,460] 😊Yes.
[00:03:56,460-00:03:57,660] 🎼别算多行。
[00:03:57,660-00:04:00,360] 为什么是露出了我的巨爽内裤啊？
[00:04:00,360-00:04:03,960] 🎼clo sir哎O now suppo
[00:04:03,960-00:04:07,200] rt you coming up哎，
[00:04:07,200-00:04:08,820] 是是黄妙兰黄妙兰。
[00:04:08,820-00:04:10,020] 😊.
[00:04:10,020-00:04:11,220] 哎，
[00:04:11,220-00:04:13,380] 你看拍片还有这种环节吗？
[00:04:13,380-00:04:14,640] 🎼那练完瑜伽，
[00:04:14,640-00:04:15,900] 老道告诉我们，
[00:04:15,900-00:04:19,140] 他觉得只有体验过当地最为特色的活动，
[00:04:19,140-00:04:22,560] 才会有真切的感受和内容从心里流淌出来。
[00:04:22,560-00:04:25,620] 但其实老道是一个比我还要内向的人，
[00:04:25,620-00:04:27,600] 所以在喜宴的成片里面，
[00:04:27,600-00:04:31,020] 你会发现他几乎都是用旁白来进行讲述的。
[00:04:31,020-00:04:33,000] 😊我去问掌勺的大师傅，
[00:04:33,000-00:04:34,980] 今天有什么特别的菜不？
[00:04:34,980-00:04:36,420] 大师傅淡淡的说，
[00:04:36,420-00:04:37,860] 也没什么特别的，
[00:04:37,860-00:04:41,460] 无非就是些发财跟豉油鸡烧乳鸽、蒸龙炖、大
[00:04:41,460-00:04:45,060] 明虾真扇片话眉猪手、五花南梦话菇精媒体。
[00:04:45,060-00:04:47,760] 究竟我应该做一个什么样的配音。
[00:04:47,760-00:04:50,820] 这件事情其实我也花了大概三四个月，
[00:04:50,820-00:04:52,440] 就是讲述的语调嘛？
[00:04:52,440-00:04:53,700] 对讲述的语调，
[00:04:53,700-00:04:55,860] 就是你是不是要抑扬顿挫，
[00:04:55,860-00:04:57,120] 要不要播音腔，
[00:04:57,120-00:04:59,820] 那我们就取了一个相对平衡的值，
[00:04:59,820-00:05:03,060] 然后我会区分一下我对麦的距离的感受。
[00:05:03,060-00:05:04,680] 就比如说在报蔡明，
[00:05:04,680-00:05:05,880] 我在。
[00:05:05,880-00:05:07,860] 🎼讲快速的语调的时候，
[00:05:07,860-00:05:09,480] 我会离得更远一点。
[00:05:09,480-00:05:12,360] 但是如果我在结尾要做升华的时候，
[00:05:12,360-00:05:13,800] 我会离得近一点，
[00:05:13,800-00:05:16,320] 让我的低音的声压更多一点啊，
[00:05:16,320-00:05:19,920] 你还有这种微操来控我有微操旁白的形式其实
[00:05:19,920-00:05:22,800] 就是我还是更 school一些，
[00:05:22,800-00:05:26,400] 我希望是由我的视角来看待我看到的东西的，
[00:05:26,400-00:05:28,020] 而不是我融入进去。
[00:05:28,020-00:05:31,620] 因为有些东西我觉得我们并不适合融入进去。
[00:05:31,620-00:05:34,860] 因为觉得做不到像team这样的状态。
[00:05:34,860-00:05:38,460] 但是现在突然发现旁白其实还是有很多好处。
[00:05:38,460-00:05:39,660] 信息密度高。
[00:05:39,660-00:05:40,860] 对他的信。
[00:05:40,860-00:05:42,120] 密度会非常高，
[00:05:42,120-00:05:45,180] 而且你拉情绪的时候可以拉的特别好。
[00:05:45,180-00:05:46,380] 那除了旁白，
[00:05:46,380-00:05:49,980] 你会发现日食器在声音方面比我们要强很多很
[00:05:49,980-00:05:51,180] 多。
[00:05:51,180-00:05:53,880] 早在2014年公司成立的时候，
[00:05:53,880-00:05:56,400] 他们就已经有了自己的声音组，
[00:05:56,400-00:05:57,660] 给画面配拟音，
[00:05:57,660-00:06:00,900] 并且一点点建立起了属于自己的音效库。
[00:06:00,900-00:06:02,520] 那这几年喜宴之上，
[00:06:02,520-00:06:05,220] 他们采用了更多现场真实的声音，
[00:06:05,220-00:06:07,920] 所以对麦克风的要求也越来越高。
[00:06:07,920-00:06:09,120] 那聊到这里，
[00:06:09,120-00:06:10,320] 你会感受到，
[00:06:10,320-00:06:13,020] 其实老道对视频的呈现非常讲究。
[00:06:13,020-00:06:15,000] 本来以为到了拍摄现场，
[00:06:15,000-00:06:16,440] 他会一样的严格。
[00:06:16,440-00:06:18,420] 🎼但你会发现跟着他拍，
[00:06:18,420-00:06:20,940] 他身上有一种老艺术家的从容，
[00:06:20,940-00:06:22,560] 他们团队没有风景，
[00:06:22,560-00:06:24,000] 没有固定的新辰，
[00:06:24,000-00:06:25,980] 拍着拍着可能说要逛街，
[00:06:25,980-00:06:27,780] 然后突然就去逛街了，
[00:06:27,780-00:06:29,760] 又或者快要收工的时候，
[00:06:29,760-00:06:31,920] 冒出了一个值得采访的人，
[00:06:31,920-00:06:35,520] 他们就在赶去的路上立刻开始加班写采访提纲
[00:06:35,520-00:06:36,720] 。
[00:06:36,720-00:06:38,340] 你们既然是拍喜宴。
[00:06:38,340-00:06:41,940] 我听说现在你们其实已经是第第二次二次来这
[00:06:41,940-00:06:43,140] 儿，
[00:06:43,140-00:06:46,380] 但是还没有找到真正的喜宴的那户人家。
[00:06:46,380-00:06:47,580] 对，
[00:06:47,580-00:06:48,780] 那怎么办？
[00:06:48,780-00:06:49,980] 没关系，
[00:06:49,980-00:06:51,180] 慢慢找，
[00:06:51,180-00:06:53,880] 就是我们就是相当于呃修一个墙，
[00:06:53,880-00:06:55,140] 先把边先修完，
[00:06:55,140-00:06:56,580] 中间露个大窟窿。
[00:06:56,580-00:06:57,780] 这个大窟窿，
[00:06:57,780-00:06:59,040] 反正等待时间，
[00:06:59,040-00:07:00,240] 已经没事了，
[00:07:00,240-00:07:02,220] 走到街上就可能不放假。
[00:07:02,220-00:07:03,420] 哎，
[00:07:03,420-00:07:06,480] 最近那哪里哪里什么地方会有结婚啊，
[00:07:06,480-00:07:08,640] 所以我觉得通过时间的话，
[00:07:08,640-00:07:11,340] 就一定会找到他的随机性太大了。
[00:07:11,340-00:07:13,320] 就比如说像尼泊尔的话，
[00:07:13,320-00:07:14,940] 这一家今天要请客，
[00:07:14,940-00:07:16,560] 他可能今天不请了，
[00:07:16,560-00:07:20,160] 那我们可能随时随地就要把其他的计划给排过
[00:07:20,160-00:07:21,360] 来。
[00:07:21,360-00:07:22,620] 等到真正忙的。
[00:07:22,620-00:07:25,140] 那一天你们会直接忙到天上去。
[00:07:25,140-00:07:27,660] 对我们其实有一次最忙的时候，
[00:07:27,660-00:07:29,280] 体感45度的温度，
[00:07:29,280-00:07:32,160] 我们大概连续工作大概16个小时。
[00:07:32,160-00:07:35,760] 就因为他这一段时间就必须得把这些东西全拍
[00:07:35,760-00:07:36,960] 了。
[00:07:36,960-00:07:40,560] 那你们比如说你们今天比如拍了很多多东西，
[00:07:40,560-00:07:43,980] 你们会当天晚上大家坐下来一起来看素材，
